location_name,state,district,latitude,longitude
Visakhapatnam,Andhra Pradesh,Visakhapatnam,17.6868,83.2185
Vijayawada,Andhra Pradesh,Krishna,16.5062,80.648
Guntur,Andhra Pradesh,Guntur,16.3067,80.4365
Nellore,Andhra Pradesh,SPSR Nellore,14.4426,79.9865
Kurnool,Andhra Pradesh,Kurnool,15.8281,78.0373
Rajahmundry,Andhra Pradesh,East Godavari,17.0005,81.804
Tirupati,Andhra Pradesh,Chittoor,13.6288,79.4192
Kakinada,Andhra Pradesh,East Godavari,16.9891,82.2475
Kadapa,Andhra Pradesh,YSR Kadapa,14.4673,78.8242
Anantapur,Andhra Pradesh,Anantapur,14.6819,77.6006
Eluru,Andhra Pradesh,West Godavari,16.7107,81.0952
Ongole,Andhra Pradesh,Prakasam,15.5057,80.0499
Vizianagaram,Andhra Pradesh,Vizianagaram,18.1066,83.3956
Srikakulam,Andhra Pradesh,Srikakulam,18.2949,83.8938
Chittoor,Andhra Pradesh,Chittoor,13.2172,79.1003
Itanagar,Arunachal Pradesh,Papum Pare,27.0844,93.6053
Naharlagun,Arunachal Pradesh,Papum Pare,27.1041,93.6957
Pasighat,Arunachal Pradesh,East Siang,28.0664,95.3327
Tezpur,Arunachal Pradesh,Sonitpur,26.6338,92.8004
Bomdila,Arunachal Pradesh,West Kameng,27.2645,92.4159
Guwahati,Assam,Kamrup Metropolitan,26.1445,91.7362
Silchar,Assam,Cachar,24.8333,92.7789
Dibrugarh,Assam,Dibrugarh,27.4728,94.912
Jorhat,Assam,Jorhat,26.7465,94.2026
Nagaon,Assam,Nagaon,26.3466,92.6843
Tinsukia,Assam,Tinsukia,27.4904,95.3601
Tezpur,Assam,Sonitpur,26.6338,92.8004
Bongaigaon,Assam,Bongaigaon,26.4771,90.5582
Dhubri,Assam,Dhubri,26.02,89.9759
North Lakhimpur,Assam,Lakhimpur,27.2347,94.1013
Patna,Bihar,Patna,25.5941,85.1376
Gaya,Bihar,Gaya,24.7955,85.0002
Bhagalpur,Bihar,Bhagalpur,25.2425,87.0095
Muzaffarpur,Bihar,Muzaffarpur,26.1197,85.391
Purnia,Bihar,Purnia,25.7771,87.4753
Darbhanga,Bihar,Darbhanga,26.1542,85.8918
Bihar Sharif,Bihar,Nalanda,25.1983,85.5236
Arrah,Bihar,Bhojpur,25.556,84.6614
Begusarai,Bihar,Begusarai,25.4182,86.1272
Katihar,Bihar,Katihar,25.5394,87.5714
Munger,Bihar,Munger,25.3757,86.4733
Chhapra,Bihar,Saran,25.7812,84.7421
Hajipur,Bihar,Vaishali,25.6888,85.209
Saharsa,Bihar,Saharsa,25.8803,86.5955
Sitamarhi,Bihar,Sitamarhi,26.5916,85.4874
Motihari,Bihar,East Champaran,26.6483,84.9178
Raipur,Chhattisgarh,Raipur,21.2514,81.6296
Bhilai,Chhattisgarh,Durg,21.1938,81.3509
Bilaspur,Chhattisgarh,Bilaspur,22.0797,82.1391
Korba,Chhattisgarh,Korba,22.3595,82.7501
Durg,Chhattisgarh,Durg,21.1904,81.2849
Rajnandgaon,Chhattisgarh,Rajnandgaon,21.0971,81.0327
Jagdalpur,Chhattisgarh,Bastar,19.0748,82.029
Raigarh,Chhattisgarh,Raigarh,21.8974,83.395
Ambikapur,Chhattisgarh,Surguja,23.1188,83.1956
New Delhi,Delhi,New Delhi,28.6139,77.209
Delhi,Delhi,Central Delhi,28.7041,77.1025
Dwarka,Delhi,South West Delhi,28.5921,77.046
Rohini,Delhi,North West Delhi,28.7495,77.068
Janakpuri,Delhi,West Delhi,28.6219,77.0878
Lajpat Nagar,Delhi,South Delhi,28.5677,77.2433
Saket,Delhi,South Delhi,28.5244,77.2066
Vasant Kunj,Delhi,South West Delhi,28.52,77.1588
Karol Bagh,Delhi,Central Delhi,28.652,77.1908
Connaught Place,Delhi,Central Delhi,28.6315,77.2167
Chandni Chowk,Delhi,North Delhi,28.6506,77.23
Shahdara,Delhi,East Delhi,28.6745,77.2885
Mayur Vihar,Delhi,East Delhi,28.6096,77.2975
Noida Sector 1,Delhi,Gautam Buddh Nagar,28.5844,77.326
Pitampura,Delhi,North West Delhi,28.7003,77.1326
Uttam Nagar,Delhi,West Delhi,28.6219,77.0591
Vikaspuri,Delhi,West Delhi,28.6365,77.071
Narela,Delhi,North Delhi,28.852,77.0936
Mustafabad,Delhi,North East Delhi,28.7209,77.2813
Patparganj,Delhi,East Delhi,28.6157,77.2924
Panaji,Goa,North Goa,15.4909,73.8278
Margao,Goa,South Goa,15.2832,73.9862
Vasco da Gama,Goa,South Goa,15.3982,73.8113
Mapusa,Goa,North Goa,15.5919,73.8143
Ponda,Goa,North Goa,15.4027,74.0147
Ahmedabad,Gujarat,Ahmedabad,23.0225,72.5714
Surat,Gujarat,Surat,21.1702,72.8311
Vadodara,Gujarat,Vadodara,22.3072,73.1812
Rajkot,Gujarat,Rajkot,22.3039,70.8022
Bhavnagar,Gujarat,Bhavnagar,21.7645,72.1519
Jamnagar,Gujarat,Jamnagar,22.4707,70.0577
Junagadh,Gujarat,Junagadh,21.5222,70.4579
Gandhinagar,Gujarat,Gandhinagar,23.2156,72.6369
Anand,Gujarat,Anand,22.5645,72.9289
Navsari,Gujarat,Navsari,20.9467,72.952
Morbi,Gujarat,Morbi,22.8173,70.837
Mehsana,Gujarat,Mehsana,23.588,72.3693
Surendranagar,Gujarat,Surendranagar,22.727,71.649
Bharuch,Gujarat,Bharuch,21.7051,72.9959
Porbandar,Gujarat,Porbandar,21.6425,69.6293
Faridabad,Haryana,Faridabad,28.4089,77.3178
Gurgaon,Haryana,Gurgaon,28.4595,77.0266
Panipat,Haryana,Panipat,29.3909,76.9635
Ambala,Haryana,Ambala,30.3782,76.7767
Yamunanagar,Haryana,Yamunanagar,30.129,77.2674
Rohtak,Haryana,Rohtak,28.8955,76.6066
Hisar,Haryana,Hisar,29.1492,75.7217
Karnal,Haryana,Karnal,29.6857,76.9905
Sonipat,Haryana,Sonipat,28.9288,77.0207
Panchkula,Haryana,Panchkula,30.6942,76.8606
Bhiwani,Haryana,Bhiwani,28.793,76.132
Sirsa,Haryana,Sirsa,29.533,75.0247
Rewari,Haryana,Rewari,28.193,76.619
Kurukshetra,Haryana,Kurukshetra,29.9695,76.8783
Shimla,Himachal Pradesh,Shimla,31.1048,77.1734
Manali,Himachal Pradesh,Kullu,32.2396,77.1887
Dharamsala,Himachal Pradesh,Kangra,32.219,76.3234
Solan,Himachal Pradesh,Solan,30.9045,77.0967
Mandi,Himachal Pradesh,Mandi,31.708,76.9318
Kullu,Himachal Pradesh,Kullu,31.9579,77.1095
Baddi,Himachal Pradesh,Solan,30.9587,76.7908
Palampur,Himachal Pradesh,Kangra,32.11,76.5363
Ranchi,Jharkhand,Ranchi,23.3441,85.3096
Jamshedpur,Jharkhand,East Singhbhum,22.8046,86.2029
Dhanbad,Jharkhand,Dhanbad,23.7957,86.4304
Bokaro,Jharkhand,Bokaro,23.6693,86.1511
Deoghar,Jharkhand,Deoghar,24.4853,86.6952
Hazaribagh,Jharkhand,Hazaribagh,23.9925,85.3619
Giridih,Jharkhand,Giridih,24.1911,86.3044
Ramgarh,Jharkhand,Ramgarh,23.6335,85.5122
Bangalore,Karnataka,Bangalore Urban,12.9716,77.5946
Mysore,Karnataka,Mysore,12.2958,76.6394
Hubli,Karnataka,Dharwad,15.3647,75.124
Mangalore,Karnataka,Dakshina Kannada,12.9141,74.856
Belgaum,Karnataka,Belgaum,15.8497,74.4977
Gulbarga,Karnataka,Gulbarga,17.3297,76.8343
Davangere,Karnataka,Davangere,14.4644,75.9218
Bellary,Karnataka,Bellary,15.1394,76.9214
Bijapur,Karnataka,Bijapur,16.8302,75.71
Shimoga,Karnataka,Shimoga,13.9299,75.5681
Tumkur,Karnataka,Tumkur,13.3409,77.101
Raichur,Karnataka,Raichur,16.212,77.3439
Bidar,Karnataka,Bidar,17.9104,77.5199
Udupi,Karnataka,Udupi,13.3409,74.7421
Koramangala,Karnataka,Bangalore Urban,12.9279,77.6271
Indiranagar,Karnataka,Bangalore Urban,12.9784,77.6408
Whitefield,Karnataka,Bangalore Urban,12.9698,77.75
Electronic City,Karnataka,Bangalore Urban,12.8399,77.677
Jayanagar,Karnataka,Bangalore Urban,12.9308,77.5838
Malleswaram,Karnataka,Bangalore Urban,13.0002,77.566
Thiruvananthapuram,Kerala,Thiruvananthapuram,8.5241,76.9366
Kochi,Kerala,Ernakulam,9.9312,76.2673
Kozhikode,Kerala,Kozhikode,11.2588,75.7804
Thrissur,Kerala,Thrissur,10.5276,76.2144
Kollam,Kerala,Kollam,8.8932,76.6141
Palakkad,Kerala,Palakkad,10.7867,76.6548
Alappuzha,Kerala,Alappuzha,9.4981,76.3388
Malappuram,Kerala,Malappuram,11.0732,76.074
Kannur,Kerala,Kannur,11.8745,75.3704
Kasaragod,Kerala,Kasaragod,12.4996,74.9869
Kottayam,Kerala,Kottayam,9.5916,76.5222
Idukki,Kerala,Idukki,9.9189,77.1025
Bhopal,Madhya Pradesh,Bhopal,23.1815,77.4104
Indore,Madhya Pradesh,Indore,22.7196,75.8577
Jabalpur,Madhya Pradesh,Jabalpur,23.1815,79.9864
Gwalior,Madhya Pradesh,Gwalior,26.2183,78.1828
Ujjain,Madhya Pradesh,Ujjain,23.1765,75.7885
